180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Abdul Aziz,Opening Balance,EMP0002,,10580.67,,10580.67,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Abdul samad,Opening Balance,EMP0005,,,770.45,-770.45,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Haadi,Opening Balance,EMP0003,,2479.95,,2479.95,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Mohammed,Opening Balance,EMP0007,,767.89,,767.89,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Nasser Al Dueb,Opening Balance,EMP0001,,89629,,89629,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Spyridon Fafoutis,Opening Balance,EMP0019,,1069,,1069,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Vijay,Opening Balance,EMP0004,,42491.8,,42491.8,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Waleed,Opening Balance,EMP0030,,3000,,3000,,,,Balance Sheet
180001,January,01-01-2018,0,10110101,Finance,Petty Cash In Hand,Younis,Opening Balance,EMP0017,,7799,,7799,,,,Balance Sheet
180001,January,01-01-2018,0,10110201,Finance,Alinma Bank,Alinma Bank,Opening Balance,,,189938.27,,189938.27,,,,Balance Sheet
180001,January,01-01-2018,0,10110202,Finance,Saudi Fransi,Saudi Fransi,Opening Balance,,,19697,,19697,,,,Balance Sheet
180001,January,01-01-2018,0,10110301,Finance,Account Receivable - Local,Ayman Al Aghol,Opening Balance,,,19547.5,,19547.5,,,,Balance Sheet
180001,January,01-01-2018,0,10110301,Finance,Account Receivable - Local,Daleel Maaden,Opening Balance,,,1157121,,1157121,,,,Balance Sheet
180001,January,01-01-2018,0,10110301,Finance,Account Receivable - Local,Daleel Maaden,Opening Balance,,,,509615.2,-509615.2,,,,Balance Sheet
180001,January,01-01-2018,0,10110302,Finance,Account Receivable - Export,BURBERRY,Opening Balance,,,2853.9,,2853.9,EURO,634.2,,Balance Sheet
180001,January,01-01-2018,0,10110302,Finance,Account Receivable - Export,CISCO,Opening Balance,,,3610.36,,3610.36,EURO,802.99,,Balance Sheet
180001,January,01-01-2018,0,10110302,Finance,Account Receivable - Export,Torec AB,Opening Balance,,,2142526.85,,2142526.85,EURO,484780.85,,Balance Sheet
